Country,Male Life Expectancy,Female Life Expectancy,Total Life Expectancy
Uganda,65.70,71.60,68.71
Ukraine,69.99,79.54,74.86
United Arab Emirates,82.37,84.44,83.23
United Kingdom,79.72,83.45,81.60
United States,77.22,82.11,79.61
Uruguay,74.59,82.17,78.45
Uzbekistan,69.68,75.70,72.66
Vanuatu,69.74,74.31,71.84
Venezuela,69.05,76.82,72.84
Vietnam,70.23,79.49,74.88
Western Sahara,70.06,73.99,71.78
Yemen,67.49,71.71,69.58
Zambia,64.25,69.07,66.70
Zimbabwe,60.75,65.61,63.35
